width	reads.per.mb.bpr	type
25240	295	diploid
19434	295	diploid
7446	295	diploid
1833	295	diploid
26203	295	diploid
13322	295	diploid
197707	295	diploid
2662	295	diploid
10841	295	diploid
25445	295	diploid
59091	295	diploid
22936	295	diploid
70741	295	diploid
4542	295	diploid
188204	295	diploid
26204	295	diploid
317388	295	diploid
6904	295	diploid
9545	295	diploid
916	295	diploid
3506	295	diploid
600924	295	diploid
4951	295	diploid
171774	295	diploid
20513	295	diploid
15116	295	diploid
863535	295	diploid
1	295	diploid
73545	295	diploid
65702	295	diploid
58902	295	diploid
2166	295	diploid
14359	295	diploid
931	295	diploid
15261	295	diploid
58532	231	diploid
3945	231	diploid
2159	231	diploid
15085087	231	diploid
127594	231	diploid
324178	231	diploid
60978	231	diploid
56774	231	diploid
70010	231	diploid
6855	231	diploid
23247	231	diploid
743532	231	diploid
21234	231	diploid
81894	231	diploid
1547	231	diploid
7388	231	diploid
615949	231	diploid
27513	231	diploid
280	231	diploid
15266	231	diploid
25079	231	diploid
27173	231	diploid
16455	231	diploid
661	231	diploid
76467	231	diploid
381068	231	diploid
253396	231	diploid
625	231	diploid
61756	231	diploid
64909	231	diploid
20140	231	diploid
46763	231	diploid
1503776	231	diploid
7067	231	diploid
154189	231	diploid
431	231	diploid
105374	157	diploid
212609	157	diploid
104202	157	diploid
27492	157	diploid
5170	157	diploid
42651	157	diploid
109034	157	diploid
255416	157	diploid
124881	157	diploid
3913	157	diploid
9601	157	diploid
51147	157	diploid
329170	157	diploid
92	157	diploid
315444	157	diploid
197473	157	diploid
22318	157	diploid
53307	157	diploid
4519	157	diploid
26260	157	diploid
29776	157	diploid
53055	157	diploid
156667	157	diploid
10202	157	diploid
331312	157	diploid
23674	157	diploid
20356	157	diploid
12290	157	diploid
9800	112	diploid
80856	112	diploid
20912	112	diploid
311461	112	diploid
48697	112	diploid
375463	112	diploid
68918	112	diploid
71447	112	diploid
58107	112	diploid
266653	112	diploid
152019	112	diploid
73256	112	diploid
20705	112	diploid
275983	112	diploid
436810	112	diploid
417163	112	diploid
33743	112	diploid
723293	112	diploid
57551	112	diploid
38047	112	diploid
600528	112	diploid
425115	112	diploid
5643	112	diploid
14852	112	diploid
139617	112	diploid
2623979	18	diploid
167045	18	diploid
80829	18	diploid
103168	18	diploid
1898680	18	diploid
106622	18	diploid
44196	105	diploid
22310	105	diploid
182392	105	diploid
2905	105	diploid
9707	105	diploid
2201	105	diploid
69876	105	diploid
331969	105	diploid
4871	105	diploid
35434	105	diploid
27327	105	diploid
48509	105	diploid
1194	105	diploid
30090	105	diploid
121288	105	diploid
439686	105	diploid
30742	105	diploid
62573	105	diploid
52146	105	diploid
77837	105	diploid
528124	105	diploid
1282	358	diploid
27879	358	diploid
103676	358	diploid
2906	358	diploid
26726	358	diploid
111585	358	diploid
1543	358	diploid
1371545	358	diploid
11872	358	diploid
10411	358	diploid
52065	358	diploid
41961	358	diploid
785	358	diploid
110513	358	diploid
15073093	358	diploid
41840	358	diploid
290397	358	diploid
1972	358	diploid
11049	358	diploid
7913	358	diploid
762	358	diploid
82386	358	diploid
484	358	diploid
48668	358	diploid
38316	358	diploid
114780	358	diploid
57182	358	diploid
76460	358	diploid
6362	358	diploid
97613	358	diploid
66915	358	diploid
32326	358	diploid
147839	358	diploid
167757	358	diploid
2618	358	diploid
191009	358	diploid
400735	358	diploid
9822	358	diploid
17917	358	diploid
112376	358	diploid
134455	358	diploid
17417	358	diploid
14815	358	diploid
14387	358	diploid
4414	350	diploid
10863	350	diploid
2513	350	diploid
5787	350	diploid
14898	350	diploid
15102	350	diploid
16219	350	diploid
14484	350	diploid
194	350	diploid
3642	350	diploid
6411	350	diploid
7835	350	diploid
3284	350	diploid
7099	350	diploid
206581	350	diploid
725	350	diploid
11121	350	diploid
1669	350	diploid
1567	350	diploid
29309	350	diploid
7216	350	diploid
4440	350	diploid
