width	reads.per.mb.bpr	type
15029	197	haploid
9959	197	haploid
8948	197	haploid
9344	197	haploid
2335421	197	haploid
16278	197	haploid
214739	37	haploid
19103	37	haploid
16843	37	haploid
8024	37	haploid
38572	37	haploid
27015	166	haploid
32421	166	haploid
6111	292	haploid
13144	292	haploid
5897	292	haploid
10212	292	haploid
3209	292	haploid
18258	292	haploid
10071	292	haploid
2034	292	haploid
6024	292	haploid
6076	292	haploid
70284	275	haploid
3878	275	haploid
13270	275	haploid
11969	275	haploid
4648	275	haploid
10930	275	haploid
6432	190	haploid
34131	190	haploid
12271	190	haploid
6856	190	haploid
7118	190	haploid
11502	190	haploid
7988	190	haploid
166	190	haploid
469	190	haploid
41993	190	haploid
8369	294	haploid
27843	294	haploid
2299	294	haploid
6953	294	haploid
22179	135	haploid
33506	135	haploid
35350	135	haploid
72345	65	haploid
106648	65	haploid
15751	126	haploid
9722	126	haploid
35246	126	haploid
16925	126	haploid
20240	151	haploid
3629	151	haploid
7564	98	haploid
2351496	98	haploid
6367	98	haploid
18391	78	haploid
21923	78	haploid
30679	78	haploid
119420	78	haploid
27878	78	haploid
2931	162	haploid
26971	141	haploid
18099	141	haploid
46	141	haploid
32695	75	haploid
20200	75	haploid
10377	75	haploid
9522	75	haploid
22383	55	haploid
56815	55	haploid
2480	55	haploid
6291	55	haploid
16553	145	haploid
24329	145	haploid
16602	145	haploid
13699	145	haploid
220945	145	haploid
4057	145	haploid
18448	145	haploid
7266	145	haploid
15588	109	haploid
9323	109	haploid
14455	109	haploid
20898	109	haploid
3688	109	haploid
3294	109	haploid
18346	109	haploid
42940	83	haploid
48565	83	haploid
53907	83	haploid
10951	128	haploid
33459	128	haploid
37169	128	haploid
376	139	haploid
10373	139	haploid
23607	62	haploid
28568	62	haploid
70	62	haploid
368214	62	haploid
50619	62	haploid
38765	62	haploid
64864	62	haploid
42348	88	haploid
67821	88	haploid
13657	88	haploid
1935	88	haploid
41866	88	haploid
86506	88	haploid
19335	125	haploid
23627	125	haploid
29120	125	haploid
181444	42	haploid
63878	42	haploid
20153	42	haploid
5638	105	haploid
2308	105	haploid
5334	105	haploid
50095	105	haploid
46730	77	haploid
7642	77	haploid
8830	77	haploid
16174	77	haploid
13027	153	haploid
1381	153	haploid
30888	86	haploid
5080	86	haploid
31888	86	haploid
25323	86	haploid
8713	86	haploid
11595	86	haploid
6428	86	haploid
50649	86	haploid
9126	86	haploid
5557	81	haploid
19915	81	haploid
20627	81	haploid
27364	81	haploid
23411	81	haploid
18376	81	haploid
31313	81	haploid
7868	81	haploid
3668	81	haploid
64179	81	haploid
30178	81	haploid
4736	81	haploid
15995	81	haploid
132629	81	haploid
22789	81	haploid
30118	81	haploid
37697	81	haploid
81297	81	haploid
39681	54	haploid
172519	54	haploid
9947	54	haploid
27234	54	haploid
66669	54	haploid
32358	55	haploid
44688	55	haploid
37816	55	haploid
53282	55	haploid
24791	55	haploid
34814	99	haploid
15813	99	haploid
15868	99	haploid
33210	99	haploid
8007	99	haploid
33938	94	haploid
42449	66	haploid
55056	66	haploid
20529	66	haploid
20857	66	haploid
39507	66	haploid
52329	66	haploid
21629	135	haploid
4713	135	haploid
25374	135	haploid
8113	135	haploid
16955	135	haploid
21508	135	haploid
64395	135	haploid
23571	135	haploid
3090	184	haploid
10670	184	haploid
9437	184	haploid
11932	184	haploid
9156	184	haploid
63598	43	haploid
5007	43	haploid
104819	43	haploid
13990	43	haploid
20954	43	haploid
47480	43	haploid
25821	43	haploid
21689	43	haploid
9241	123	haploid
18574	123	haploid
15613	123	haploid
68468	123	haploid
14261	66	haploid
91782	66	haploid
38066	66	haploid
8944	136	haploid
21923	136	haploid
44796	136	haploid
1576	136	haploid
12378	136	haploid
17935	136	haploid
5305	173	haploid
11400	172	haploid
18063	172	haploid
9319	172	haploid
19421	172	haploid
28417	172	haploid
21683	176	haploid
53437	176	haploid
14742	176	haploid
41244	88	haploid
1057	88	haploid
91568	88	haploid
39446	88	haploid
15033	88	haploid
58926	88	haploid
10609	88	haploid
13115	119	haploid
43100	119	haploid
26593	119	haploid
24619	167	haploid
3526	167	haploid
3830	167	haploid
302	167	haploid
17047	167	haploid
189908	111	haploid
11713	111	haploid
29088	111	haploid
16049	111	haploid
4835	111	haploid
57707	111	haploid
6218	152	haploid
4004	152	haploid
6930	152	haploid
16699	152	haploid
4004	152	haploid
18801	152	haploid
12693	149	haploid
15572	149	haploid
21591	149	haploid
35681	149	haploid
20347	78	haploid
22081	78	haploid
111835	78	haploid
2384	78	haploid
3398	78	haploid
3630	78	haploid
95714	78	haploid
15218	78	haploid
2835	78	haploid
29691	78	haploid
152737	78	haploid
50533	78	haploid
85939	78	haploid
97528	31	haploid
48157	31	haploid
78875	31	haploid
81048	31	haploid
32630	31	haploid
52204	31	haploid
17908	154	haploid
4215	154	haploid
3188	154	haploid
2348339	154	haploid
1294	282	haploid
1516	282	haploid
19992	282	haploid
6034	282	haploid
17358	97	haploid
9796	97	haploid
8784	97	haploid
33013	97	haploid
13943	97	haploid
27449	97	haploid
17552	95	haploid
28967	95	haploid
29346	95	haploid
97480	95	haploid
35161	95	haploid
18966	95	haploid
14596	95	haploid
16434	95	haploid
13926	95	haploid
37356	95	haploid
4057	95	haploid
28943	95	haploid
66351	85	haploid
40771	85	haploid
49429	85	haploid
3996	85	haploid
14502	122	haploid
15798	122	haploid
31064	122	haploid
3348	121	haploid
15822	121	haploid
16839	121	haploid
132731	121	haploid
9303	80	haploid
47882	80	haploid
17868	80	haploid
23993	80	haploid
1886	75	haploid
56096	75	haploid
23336	75	haploid
26929	75	haploid
27674	75	haploid
91849	109	haploid
17449	109	haploid
45915	109	haploid
8318	109	haploid
37724	109	haploid
47486	109	haploid
72663	109	haploid
18100	109	haploid
60508	128	haploid
8187	128	haploid
10168	128	haploid
3199	128	haploid
20538	128	haploid
79283	128	haploid
41163	68	haploid
24687	68	haploid
24657	68	haploid
31358	68	haploid
146317	68	haploid
4559	68	haploid
17836	68	haploid
62645	68	haploid
56431	139	haploid
7718	139	haploid
17534	139	haploid
54966	72	haploid
62219	72	haploid
41364	72	haploid
41389	72	haploid
4931	72	haploid
27011	116	haploid
12689	116	haploid
22111	116	haploid
7299	116	haploid
24616	148	haploid
29087	148	haploid
477335	148	haploid
44236	56	haploid
31555	56	haploid
14171	56	haploid
12899	56	haploid
25586	39	haploid
66089	39	haploid
18220	39	haploid
54790	39	haploid
28219	39	haploid
17363	39	haploid
74415	39	haploid
33350	129	haploid
12577	129	haploid
5076	129	haploid
16012	129	haploid
33739	63	haploid
108881	63	haploid
29222	63	haploid
34298	63	haploid
58862	63	haploid
14038	63	haploid
195778	63	haploid
17097	63	haploid
71538	63	haploid
23521	63	haploid
197387	63	haploid
16474	64	haploid
53151	64	haploid
32995	64	haploid
20465	64	haploid
36818	64	haploid
34402	64	haploid
10358	151	haploid
12121	151	haploid
14963	151	haploid
16322	151	haploid
8223	151	haploid
5832	151	haploid
28608	151	haploid
12174	151	haploid
14601	151	haploid
8039	151	haploid
56091	107	haploid
11602	107	haploid
16298	107	haploid
12619	107	haploid
72019	107	haploid
1538	201	haploid
3745	201	haploid
4005	201	haploid
1738	201	haploid
9932	201	haploid
1506	201	haploid
27742	201	haploid
13126	197	haploid
4753	197	haploid
36990	197	haploid
11104	197	haploid
22686	197	haploid
26155	197	haploid
16506	197	haploid
1258	197	haploid
26926	197	haploid
14752	197	haploid
11352	197	haploid
6471	197	haploid
42420	197	haploid
6237	197	haploid
5137	197	haploid
1090	256	haploid
1206	256	haploid
1433	256	haploid
18586	256	haploid
11348	256	haploid
1853	256	haploid
21370	256	haploid
826	256	haploid
20993	168	haploid
9041	168	haploid
1540	168	haploid
26602	168	haploid
1431	168	haploid
18263	168	haploid
755	168	haploid
2842	168	haploid
4051	178	haploid
6744	178	haploid
588	178	haploid
27334	178	haploid
25107	178	haploid
40784	178	haploid
18394	178	haploid
17266	100	haploid
15614	100	haploid
15235	237	haploid
3955	237	haploid
50627	237	haploid
6006	237	haploid
13761	237	haploid
11733	237	haploid
133121	237	haploid
526	225	haploid
18810	225	haploid
11079	225	haploid
13187	225	haploid
3320	225	haploid
23455	225	haploid
152	225	haploid
18551	225	haploid
19940	225	haploid
89554	225	haploid
18415	225	haploid
13564	280	haploid
4152	280	haploid
199	280	haploid
11757	280	haploid
19191	280	haploid
33226	194	haploid
10845	194	haploid
17398	194	haploid
9541	194	haploid
21518	194	haploid
11159	194	haploid
28945	194	haploid
17255	194	haploid
28204	93	haploid
87451	93	haploid
101964	93	haploid
38877	93	haploid
84337	93	haploid
46496	93	haploid
18518	93	haploid
8544	93	haploid
864	93	haploid
11792	93	haploid
21111	158	haploid
6933	158	haploid
29775	158	haploid
20568	158	haploid
7659	158	haploid
24178	158	haploid
28594	118	haploid
11906	118	haploid
11714	118	haploid
19036	118	haploid
474	118	haploid
18065	118	haploid
17220	268	haploid
9989	268	haploid
