file	ploidy	quality_manual	coverage	spikiness	evenness.mean	evenness.med	end	background	reads.per.mb.bpr	coverage.bpr	gene
blm-2-a1h5-hkt-r46-c44_S332_.processed.bam	2	G	0.025014089	0.128637287	0.207179816	0.201240776	pe	0.021885043	166	1.15	BLM
blm-2-a1h5-hkt-r46-c45_S333_.processed.bam	2	G	0.022291385	0.13675276	0.209676501	0.204013545	pe	0.030679483	150	1.03	BLM
blm-2-a1h5-hkt-r46-c46_S334_.processed.bam	2	G	0.021806541	0.128109772	0.225975911	0.212929677	pe	0.016639182	150	1.01	BLM
blm-2-a1h5-hkt-r46-c47_S335_.processed.bam	2	P	0.012043779	0.184767648	0.229363455	0.226699742	pe	0.065332583	81	0.57	BLM
blm-2-a1h5-hkt-r46-c48_S336_.processed.bam	2	G	0.020716511	0.130177763	0.21073699	0.205748768	pe	0.013238933	138	0.95	BLM
blm-2-a1h5-hkt-r46-c49_S337_.processed.bam	2	G	0.023601616	0.128271142	0.213845474	0.20549411	pe	0.011093909	158	1.08	BLM
blm-2-a1h5-hkt-r46-c50_S338_.processed.bam	2	G	0.023515034	0.130720943	0.213255561	0.207818942	pe	0.018087169	154	1.07	BLM
blm-2-a1h5-hkt-r46-c51_S339_.processed.bam	2	G	0.023704649	0.125063194	0.20964593	0.202375073	pe	0.010475868	158	1.08	BLM
blm-2-a1h5-hkt-r46-c52_S340_.processed.bam	2	G	0.024871396	0.125966541	0.212471488	0.209033593	pe	0.013219647	160	1.13	BLM
blm-2-a1h5-hkt-r47-c40_S364_.processed.bam	2	G	0.017572978	0.169829423	0.225999808	0.216874469	pe	0.014851065	124	0.83	BLM
blm-2-a1h5-hkt-r47-c41_S365_.processed.bam	2	G	0.011041721	0.159718508	0.21233172	0.208572109	pe	0.010313418	76	0.52	BLM
blm-2-a1h5-hkt-r47-c42_S366_.processed.bam	2	G	0.016890016	0.144059447	0.21630259	0.211703826	pe	0.014882773	116	0.79	BLM
blm-2-a1h5-hkt-r47-c43_S367_.processed.bam	2	G	0.025937553	0.126635073	0.215280923	0.207786159	pe	0.012189521	173	1.19	BLM
blm-2-a1h5-hkt-r47-c44_S368_.processed.bam	2	P	0.025716923	0.173094136	0.217871457	0.217863415	pe	0.07017985	161	1.17	BLM
blm-2-a1h5-hkt-r47-c45_S369_.processed.bam	2	G	0.023261805	0.128180816	0.209840594	0.205846628	pe	0.01071073	154	1.07	BLM
blm-2-a1h5-hkt-r47-c46_S370_.processed.bam	2	G	0.020773201	0.131556897	0.221204838	0.211910364	pe	0.015380425	140	0.95	BLM
blm-2-a1h5-hkt-r47-c47_S371_.processed.bam	2	G	0.012392061	0.175879771	0.227662904	0.223062433	pe	0.012636699	83	0.58	BLM
blm-2-a1h5-hkt-r47-c48_S372_.processed.bam	2	G	0.021100573	0.134492487	0.211082557	0.204358577	pe	0.016461916	141	0.97	BLM
blm-2-a1h5-hkt-r47-c49_S373_.processed.bam	2	G	0.017350143	0.182973222	0.235681316	0.22765842	pe	0.014025295	119	0.8	BLM
blm-2-a1h5-hkt-r47-c50_S374_.processed.bam	2	G	0.020493053	0.13797221	0.223334464	0.215856209	pe	0.020298626	136	0.93	BLM
blm-2-a1h5-hkt-r47-c51_S375_.processed.bam	2	G	0.023151696	0.130121221	0.216013598	0.214147344	pe	0.010251535	148	1.05	BLM
blm-2-a1h5-hkt-r47-c52_S376_.processed.bam	2	G	0.01499333	0.196763221	0.238309015	0.230292869	pe	0.01419462	101	0.68	BLM
blm-2-a1h5-hkt-r47-c53_S377_.processed.bam	2	G	0.027062543	0.121393592	0.208773729	0.200066911	pe	0.018765634	178	1.22	BLM
blm-2-fdu-single-f3-r2-c2_S51_.trimmed.mdup.bam	1	G	0.005242546	0.214515525	0.217632414	0.217394477	pe	0.044463906	34	0.25	BLM
blm-2-fdu-single-f3-r2-c3_S52_.trimmed.mdup.bam	1	G	0.016018275	0.15079023	0.19894494	0.198154372	pe	0.019163346	101	0.75	BLM
blm-2-fdu-single-f3-r2-c5_S54_.trimmed.mdup.bam	1	G	0.016933705	0.144260883	0.195177491	0.19445596	pe	0.023939777	107	0.79	BLM
blm-2-fdu-single-f3-r2-c6_S55_.trimmed.mdup.bam	1	G	0.018242894	0.140909763	0.193188366	0.19213004	pe	0.031967909	114	0.84	BLM
blm-2-fdu-single-f3-r3-c2_S56_.trimmed.mdup.bam	1	G	0.012166389	0.167986347	0.207205992	0.206683742	pe	0.052065384	78	0.58	BLM
blm-2-fdu-single-f3-r3-c4_S58_.trimmed.mdup.bam	1	G	0.010012046	0.174651695	0.208169558	0.207704862	pe	0.038948914	65	0.48	BLM
blm-2-fdu-single-f3-r3-c5_S59_.trimmed.mdup.bam	1	G	0.016584269	0.144149972	0.198998665	0.197957853	pe	0.025139176	105	0.77	BLM
blm-2-fdu-single-f3-r3-c6_S60_.trimmed.mdup.bam	1	G	0.012317173	0.16038381	0.20212994	0.201240674	pe	0.043062002	79	0.58	BLM
blm-2-fdu-single-f3-r4-c3_S62_.trimmed.mdup.bam	1	G	0.007542719	0.187152237	0.212436463	0.211645363	pe	0.030275895	49	0.36	BLM
blm-2-fdu-single-f3-r4-c4_S63_.trimmed.mdup.bam	1	P	0.01761247	0.164160674	0.200484062	0.200270411	pe	0.069704778	110	0.82	BLM
blm-2-fdu-single-f3-r4-c5_S64_.trimmed.mdup.bam	1	G	0.016606501	0.141779614	0.196200822	0.195117433	pe	0.022684418	106	0.78	BLM
blm-2-fdu-single-f3-r4-c6_S65_.trimmed.mdup.bam	1	G	0.010222997	0.168956009	0.20507098	0.204652938	pe	0.042667295	65	0.48	BLM
blm-2-fdu-single-f3-r5-c2_S66_.trimmed.mdup.bam	1	G	0.009523189	0.171373218	0.20315115	0.202729748	pe	0.023921138	61	0.45	BLM
blm-2-fdu-single-f3-r5-c3_S67_.trimmed.mdup.bam	1	G	0.016406416	0.149024086	0.206261154	0.204452729	pe	0.031306387	102	0.75	BLM
blm-2-fdu-single-f3-r5-c4_S68_.trimmed.mdup.bam	1	G	0.012668346	0.156119486	0.200875292	0.199818588	pe	0.027544088	81	0.6	BLM
blm-2-fdu-single-f3-r5-c5_S69_.trimmed.mdup.bam	1	G	0.017060955	0.14726492	0.202379063	0.201620337	pe	0.042504844	109	0.81	BLM
blm-2-fdu-single-f3-r5-c6_S70_.trimmed.mdup.bam	1	G	0.00537793	0.294292403	0.244084466	0.238758465	pe	0.037218723	37	0.26	BLM
blm-2-fdu-single-f3-r6-c3_S72_.trimmed.mdup.bam	1	G	0.017802477	0.141519786	0.196549205	0.19560919	pe	0.025037431	112	0.83	BLM
blm-2-fdu-single-f3-r6-c4_S73_.trimmed.mdup.bam	1	G	0.009743509	0.174779889	0.214853413	0.21415106	pe	0.021061846	63	0.46	BLM
blm-2-fdu-single-f3-r6-c5_S74_.trimmed.mdup.bam	1	P	0.015084509	0.212413807	0.221855719	0.219073297	pe	0.123763708	90	0.71	BLM
blm-2-fdu-single-f4-r2-c2_S76_.trimmed.mdup.bam	1	G	0.009798749	0.173123543	0.208286163	0.207799659	pe	0.029820903	63	0.47	BLM
blm-2-fdu-single-f4-r2-c3_S77_.trimmed.mdup.bam	1	G	0.014238559	0.151967951	0.197945611	0.197215893	pe	0.049682038	91	0.67	BLM
blm-2-fdu-single-f4-r2-c4_S78_.trimmed.mdup.bam	1	G	0.007964701	0.186904732	0.212838746	0.212763587	pe	0.038252143	51	0.38	BLM
blm-2-fdu-single-f4-r2-c5_S79_.trimmed.mdup.bam	1	G	0.012865911	0.157635086	0.197564249	0.197140062	pe	0.045039546	80	0.59	BLM
blm-2-fdu-single-f4-r2-c6_S80_.trimmed.mdup.bam	1	G	0.01904619	0.139288123	0.195357205	0.195017815	pe	0.029021722	119	0.88	BLM
blm-2-fdu-single-f4-r3-c2_S81_.trimmed.mdup.bam	1	G	0.009279418	0.181304348	0.209728313	0.208831602	pe	0.040873008	60	0.44	BLM
blm-2-fdu-single-f4-r3-c4_S83_.trimmed.mdup.bam	1	G	0.008856347	0.179527922	0.205144805	0.204805444	pe	0.044341158	57	0.42	BLM
blm-2-fdu-single-f4-r3-c5_S84_.trimmed.mdup.bam	1	G	0.010854586	0.167915047	0.201806506	0.201565852	pe	0.054309394	69	0.51	BLM
blm-2-fdu-single-f4-r4-c5_S89_.trimmed.mdup.bam	1	P	0.012751764	0.185014086	0.209097351	0.209096945	pe	0.064285966	81	0.6	BLM
blm-2-fdu-single-f4-r5-c3_S92_.trimmed.mdup.bam	1	G	0.004734358	0.224688557	0.219570153	0.219107015	pe	0.049102624	31	0.23	BLM
blm-2-fdu-single-f4-r5-c4_S93_.trimmed.mdup.bam	1	P	0.015877403	0.171105232	0.20453403	0.204203585	pe	0.053675279	100	0.74	BLM
blm-2-fdu-single-f4-r6-c2_S96_.trimmed.mdup.bam	1	G	0.011918853	0.20929369	0.21819766	0.21364669	pe	0.053580919	79	0.56	BLM
blm-2-fdu-single-f4-r6-c4_S98_.trimmed.mdup.bam	1	G	0.007381072	0.187076808	0.208531718	0.20842944	pe	0.047561225	48	0.35	BLM
blm-2-fdu-single-f4-r6-c5_S99_.trimmed.mdup.bam	1	G	0.010687572	0.167706802	0.204058228	0.203338267	pe	0.037587354	69	0.51	BLM
blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	1	G	0.011880319	0.182308974	0.22452271	0.224367786	pe	0.011456382	67	0.5	BLM/RECQL5
blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	1	G	0.012611362	0.211954088	0.22520579	0.223997896	pe	0.010755824	71	0.52	BLM/RECQL5
blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	1	G	0.010075146	0.199979167	0.230399337	0.23039722	pe	0.012997234	59	0.45	BLM/RECQL5
blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	1	G	0.038118458	0.221286911	0.224689526	0.221876031	pe	0.011904911	233	1.67	BLM/RECQL5
blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	1	G	0.037617025	0.119693695	0.188430089	0.186694089	pe	0.011649909	221	1.62	BLM/RECQL5
blm-recq5-1-single-f13-r3-c1_S407_.trimmed.mdup.bam	1	G	0.013344802	0.335785679	0.272021916	0.263466967	pe	0.02063765	97	0.62	BLM/RECQL5
blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	1	G	0.039496203	0.138778291	0.196705665	0.19516883	pe	0.011034591	233	1.72	BLM/RECQL5
blm-recq5-1-single-f13-r7-c4_S438_.trimmed.mdup.bam	1	G	0.027607156	0.198284041	0.246215063	0.246205776	pe	0.013674544	160	1.21	BLM/RECQL5
blm-recq5-1-single-f14-r1-c1_S442_.trimmed.mdup.bam	1	G	0.027606801	0.128146735	0.198693691	0.193226844	pe	0.009481091	169	1.22	BLM/RECQL5
blm-recq5-1-single-f14-r1-c2_S443_.trimmed.mdup.bam	1	G	0.02264934	0.293050222	0.272283283	0.250924273	pe	0.014238189	157	0.98	BLM/RECQL5
blm-recq5-1-single-f14-r1-c3_S444_.trimmed.mdup.bam	1	P	0.025329332	0.140138503	0.199990686	0.199253875	pe	0.036068826	152	1.13	BLM/RECQL5
blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	1	G	0.027344658	0.132200827	0.203980237	0.199674502	pe	0.012375711	165	1.19	BLM/RECQL5
blm-recq5-1-single-f14-r1-c5_S446_.trimmed.mdup.bam	1	P	0.016451671	0.406676598	0.300577664	0.297235898	pe	0.013646603	112	0.72	BLM/RECQL5
blm-recq5-1-single-f14-r1-c7_S448_.trimmed.mdup.bam	1	G	0.024666468	0.224465504	0.233117137	0.224807981	pe	0.015162236	156	1.08	BLM/RECQL5
blm-recq5-1-single-f14-r2-c1_S449_.trimmed.mdup.bam	1	G	0.019552375	0.208603109	0.233718621	0.230937079	pe	0.072071212	123	0.88	BLM/RECQL5
blm-recq5-1-single-f14-r2-c4_S452_.trimmed.mdup.bam	1	G	0.016566892	0.33631477	0.27646866	0.262488184	pe	0.010904645	117	0.74	BLM/RECQL5
blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	1	G	0.028394714	0.136820482	0.207806975	0.205333699	pe	0.042695493	171	1.25	BLM/RECQL5
blm-recq5-1-single-f14-r3-c1_S456_.trimmed.mdup.bam	1	G	0.009928307	0.356690681	0.278982516	0.268726172	pe	0.014914765	72	0.46	BLM/RECQL5
blm-recq5-1-single-f14-r3-c2_S457_.trimmed.mdup.bam	1	P	0.016250595	0.204669144	0.218253397	0.216073369	pe	0.068782028	95	0.75	BLM/RECQL5
blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	1	G	0.011269012	0.162817552	0.206085202	0.205430712	pe	0.012230374	71	0.53	BLM/RECQL5
blm-recq5-1-single-f14-r3-c5_S460_.trimmed.mdup.bam	1	G	0.016279428	0.287111195	0.272580167	0.261514875	pe	0.01926998	116	0.73	BLM/RECQL5
blm-recq5-1-single-f14-r3-c6_S461_.trimmed.mdup.bam	1	G	0.026292715	0.148487687	0.203322325	0.201182624	pe	0.072847601	161	1.17	BLM/RECQL5
blm-recq5-1-single-f14-r3-c7_S462_.trimmed.mdup.bam	1	G	0.014669624	0.27952475	0.240008475	0.229412488	pe	0.009999298	100	0.68	BLM/RECQL5
blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	1	G	0.032500735	0.125742913	0.194728787	0.193635659	pe	0.016561735	192	1.42	BLM/RECQL5
blm-recq5-1-single-f14-r4-c5_S467_.trimmed.mdup.bam	1	G	0.022215069	0.28614792	0.273922344	0.255193393	pe	0.03523412	158	0.99	BLM/RECQL5
blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	1	G	0.01922901	0.195848277	0.219838919	0.215839829	pe	0.012714694	122	0.87	BLM/RECQL5
blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	1	G	0.012393953	0.160542497	0.206021458	0.205209624	pe	0.012085838	78	0.58	BLM/RECQL5
blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	1	G	0.030537112	0.274072596	0.256647391	0.242908057	pe	0.011263203	200	1.32	BLM/RECQL5
blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	1	G	0.008207204	0.212834204	0.22035866	0.218117138	pe	0.010269271	53	0.39	BLM/RECQL5
blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	1	G	0.025278265	0.134657822	0.19982401	0.198796929	pe	0.01540541	153	1.13	BLM/RECQL5
blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	1	G	0.030149823	0.235041895	0.223120932	0.219739499	pe	0.01297259	184	1.31	BLM/RECQL5
blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	1	G	0.010482046	0.242713887	0.235892366	0.227181215	pe	0.015416113	71	0.49	BLM/RECQL5
blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	1	G	0.021222543	0.220793162	0.226100943	0.215794353	pe	0.008369598	139	0.96	BLM/RECQL5
blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	1	G	0.006523252	0.289161105	0.237729427	0.233357316	pe	0.0149602	44	0.31	BLM/RECQL5
blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam	1	G	0.026695793	0.133164362	0.204150697	0.200235464	pe	0.009556619	163	1.18	BLM/RECQL5
blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam	1	G	0.032262894	0.20273956	0.222487719	0.220000825	pe	0.014589287	195	1.41	BLM/RECQL5
blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam	1	G	0.023367926	0.280577872	0.26360104	0.244791785	pe	0.02328714	163	1.04	BLM/RECQL5
blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam	1	G	0.016388317	0.154157432	0.208098555	0.206295	pe	0.014057237	103	0.76	BLM/RECQL5
blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam	1	G	0.035752489	0.122252654	0.192741352	0.191180788	pe	0.008935258	211	1.56	BLM/RECQL5
blm-recq5-1-single-f14-r7-c6_S489_.trimmed.mdup.bam	1	G	0.029367688	0.176827215	0.230366869	0.215004607	pe	0.010100073	190	1.29	BLM/RECQL5
blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	1	G	0.019807814	0.136649509	0.195879772	0.195480963	pe	0.012284745	120	0.89	BLM/RECQL5
blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	1	G	0.013725293	0.15319434	0.20241524	0.201674312	pe	0.021767402	85	0.63	BLM/RECQL5
blm-recq5-1-single-f15-r1-c4_S494_.trimmed.mdup.bam	1	G	0.02303891	0.201043659	0.217518776	0.214755809	pe	0.114888859	131	1.04	BLM/RECQL5
blm-recq5-1-single-f15-r1-c5_S495_.trimmed.mdup.bam	1	G	0.014076759	0.293629908	0.266089462	0.246647558	pe	0.012943008	101	0.64	BLM/RECQL5
blm-recq5-1-single-f15-r1-c6_S496_.trimmed.mdup.bam	1	G	0.019129069	0.141131481	0.201292462	0.201241501	pe	0.013444634	115	0.87	BLM/RECQL5
blm-recq5-1-single-f15-r1-c7_S497_.trimmed.mdup.bam	1	G	0.015045868	0.391592693	0.293778225	0.288074183	pe	0.020258656	108	0.67	BLM/RECQL5
blm-recq5-1-single-f15-r2-c1_S498_.trimmed.mdup.bam	1	G	0.014997052	0.285611058	0.2618382	0.242645529	pe	0.015178402	107	0.69	BLM/RECQL5
blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	1	G	0.007063386	0.199258951	0.215123206	0.214493934	pe	0.022379067	45	0.34	BLM/RECQL5
blm-recq5-1-single-f15-r2-c3_S500_.trimmed.mdup.bam	1	G	0.015298954	0.259512693	0.236850864	0.231931007	pe	0.171737014	87	0.72	BLM/RECQL5
blm-recq5-1-single-f15-r2-c6_S503_.trimmed.mdup.bam	1	P	0.023342462	0.330698666	0.254086827	0.249454277	pe	0.172241417	121	1.04	BLM/RECQL5
blm-recq5-1-single-f15-r2-c7_S504_.trimmed.mdup.bam	1	G	0.01400917	0.268857812	0.261259175	0.239119787	pe	0.010836941	101	0.65	BLM/RECQL5
blm-recq5-1-single-f15-r3-c1_S505_.trimmed.mdup.bam	1	G	0.005584207	0.270370914	0.231362932	0.230772937	pe	0.112076639	34	0.27	BLM/RECQL5
blm-recq5-1-single-f15-r3-c2_S506_.trimmed.mdup.bam	1	G	0.010563002	0.242547829	0.23076144	0.222764075	pe	0.014810045	71	0.49	BLM/RECQL5
blm-recq5-1-single-f15-r3-c6_S510_.trimmed.mdup.bam	1	G	0.019326279	0.14293765	0.210470261	0.209296676	pe	0.008929774	121	0.89	BLM/RECQL5
blm-recq5-1-single-f15-r4-c1_S512_.trimmed.mdup.bam	1	G	0.011386446	0.204406884	0.214373604	0.211648395	pe	0.011714369	73	0.53	BLM/RECQL5
blm-recq5-1-single-f15-r4-c2_S513_.trimmed.mdup.bam	1	P	0.009069325	0.199425563	0.215131773	0.215084833	pe	0.072223684	57	0.43	BLM/RECQL5
blm-recq5-1-single-f15-r4-c3_S514_.trimmed.mdup.bam	1	G	0.009713581	0.304499032	0.265902571	0.25282608	pe	0.012815529	71	0.46	BLM/RECQL5
blm-recq5-1-single-f15-r4-c4_S515_.trimmed.mdup.bam	1	G	0.021825426	0.239653633	0.242075366	0.230390372	pe	0.011369327	145	0.98	BLM/RECQL5
blm-recq5-1-single-f15-r4-c5_S516_.trimmed.mdup.bam	1	G	0.018206036	0.232079487	0.237383647	0.22363552	pe	0.010762309	123	0.83	BLM/RECQL5
blm-recq5-1-single-f15-r4-c6_S517_.trimmed.mdup.bam	1	G	0.01358008	0.282912098	0.251506175	0.237915578	pe	0.009653287	95	0.63	BLM/RECQL5
blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	1	G	0.008134529	0.189437908	0.209713379	0.209447014	pe	0.010313581	52	0.39	BLM/RECQL5
blm-recq5-1-single-f15-r5-c3_S521_.trimmed.mdup.bam	1	P	0.028303985	0.233571238	0.251409981	0.245734931	pe	0.143921313	150	1.26	BLM/RECQL5
blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	1	G	0.024918744	0.184389866	0.216656368	0.21089535	pe	0.009818163	157	1.12	BLM/RECQL5
blm-recq5-1-single-f15-r5-c5_S523_.trimmed.mdup.bam	1	G	0.01500563	0.232565715	0.23197347	0.224105417	pe	0.009573679	99	0.69	BLM/RECQL5
blm-recq5-1-single-f15-r6-c1_S526_.trimmed.mdup.bam	1	G	0.017587105	0.164733988	0.20397424	0.203285541	pe	0.012717067	109	0.81	BLM/RECQL5
blm-recq5-1-single-f15-r6-c2_S527_.trimmed.mdup.bam	1	G	0.019035163	0.247463627	0.240484671	0.227299316	pe	0.011879036	128	0.86	BLM/RECQL5
blm-recq5-1-single-f15-r6-c3_S528_.trimmed.mdup.bam	1	G	0.023993567	0.140496017	0.20077844	0.200739212	pe	0.010730295	144	1.09	BLM/RECQL5
blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	1	G	0.007517296	0.194957165	0.213646286	0.213133761	pe	0.013922606	48	0.36	BLM/RECQL5
blm-recq5-1-single-f15-r6-c5_S530_.trimmed.mdup.bam	1	G	0.014185293	0.157631915	0.204958287	0.204879667	pe	0.029618491	87	0.66	BLM/RECQL5
blm-recq5-1-single-f15-r6-c7_S532_.trimmed.mdup.bam	1	G	0.01762	0.271170021	0.268344867	0.247709022	pe	0.011484965	126	0.8	BLM/RECQL5
blm-recq5-1-single-f15-r7-c1_S533_.trimmed.mdup.bam	1	G	0.024047175	0.136925039	0.195087397	0.193205588	pe	0.00815329	151	1.11	BLM/RECQL5
blm-recq5-1-single-f15-r7-c2_S534_.trimmed.mdup.bam	1	G	0.017217631	0.192358855	0.213726631	0.212826768	pe	0.08527906	102	0.79	BLM/RECQL5
blm-recq5-1-single-f15-r7-c3_S535_.trimmed.mdup.bam	1	G	0.01045247	0.241349581	0.245567861	0.242978347	pe	0.173269276	60	0.49	BLM/RECQL5
blm-recq5-1-single-f15-r7-c5_S537_.trimmed.mdup.bam	1	G	0.013617023	0.226668815	0.225678579	0.219880703	pe	0.01084754	88	0.62	BLM/RECQL5
blm-recq5-1-single-f15-r7-c6_S538_.trimmed.mdup.bam	1	G	0.020175078	0.158780324	0.210481622	0.209449836	pe	0.008707381	124	0.92	BLM/RECQL5
blm-recq5-2-single-c12-w10-3d6_S453_.trimmed.mdup.bam	1	P	0.007396067	0.283917459	0.243198814	0.239974526	pe	0.107414806	41	0.33	BLM/RECQL5
blm-recq5-2-single-c12-w11-3d6_S454_.trimmed.mdup.bam	1	P	0.006616042	0.367189143	0.26419521	0.254636406	pe	0.189844009	31	0.29	BLM/RECQL5
blm-recq5-2-single-c12-w35-3d6_S478_.trimmed.mdup.bam	1	P	0.008985965	0.309312298	0.259582265	0.251267415	pe	0.198326816	45	0.4	BLM/RECQL5
blm-recq5-2-single-c12-w39-3d6_S482_.trimmed.mdup.bam	1	G	0.006841037	0.210257731	0.220183081	0.219792612	pe	0.012986757	41	0.31	BLM/RECQL5
blm-recq5-2-single-c12-w7-3d6_S450_.trimmed.mdup.bam	1	P	0.023920982	0.237108352	0.261701022	0.260474157	pe	0.191397908	131	1.06	BLM/RECQL5
blm-recq5-2-single-c4-w7-3d6_S79_.trimmed.mdup.bam	1	P	0.007902436	0.308747086	0.253752549	0.246664805	pe	0.146549905	42	0.37	BLM/RECQL5
blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	1	G	0.043518239	0.112602037	0.201825511	0.199453427	pe	0.018185866	248	1.82	BLM/RECQL5
blm-recq5-2-single-f12-r1-c2_S345_.trimmed.mdup.bam	1	G	0.011027367	0.189464773	0.206152096	0.20372128	pe	0.060483028	62	0.45	BLM/RECQL5
blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	1	G	0.02994277	0.128590958	0.19207329	0.190618112	pe	0.011687948	171	1.26	BLM/RECQL5
blm-recq5-2-single-f12-r1-c6_S349_.trimmed.mdup.bam	1	G	0.030885471	0.210263953	0.252188917	0.226578387	pe	0.012951895	193	1.27	BLM/RECQL5
blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	1	G	0.029004185	0.124352446	0.186388406	0.185160285	pe	0.015001395	165	1.22	BLM/RECQL5
blm-recq5-2-single-f12-r2-c4_S354_.trimmed.mdup.bam	1	G	0.030932754	0.121666119	0.191402346	0.189299252	pe	0.010913339	182	1.34	BLM/RECQL5
blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	1	G	0.023571406	0.127777303	0.19038361	0.188612545	pe	0.011371675	144	1.06	BLM/RECQL5
blm-recq5-2-single-f12-r3-c1_S358_.trimmed.mdup.bam	1	G	0.007635034	0.237302087	0.25080915	0.238091533	pe	0.081333038	52	0.35	BLM/RECQL5
blm-recq5-2-single-f12-r3-c2_S359_.trimmed.mdup.bam	1	G	0.02276828	0.132464095	0.19178857	0.190531687	pe	0.011707476	139	1.03	BLM/RECQL5
blm-recq5-2-single-f12-r4-c2_S366_.trimmed.mdup.bam	1	G	0.014659397	0.242958539	0.243015752	0.229820942	pe	0.015425927	97	0.65	BLM/RECQL5
blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	1	G	0.051400691	0.107168885	0.183527963	0.181155803	pe	0.009467161	289	2.12	BLM/RECQL5
blm-recq5-2-single-f12-r4-c7_S371_.trimmed.mdup.bam	1	G	0.019458777	0.305464024	0.281967051	0.26745996	pe	0.017372668	140	0.87	BLM/RECQL5
blm-recq5-2-single-f16-r1-c1_S540_.trimmed.mdup.bam	1	G	0.007702674	0.201748263	0.212543002	0.212404702	pe	0.040774444	49	0.37	BLM/RECQL5
blm-recq5-2-single-f16-r1-c2_S541_.trimmed.mdup.bam	1	G	0.011010803	0.16912777	0.208508351	0.207480643	pe	0.010052683	70	0.52	BLM/RECQL5
blm-recq5-2-single-f16-r1-c3_S542_.trimmed.mdup.bam	1	G	0.008349788	0.182224191	0.223592913	0.214460414	pe	0.031609735	56	0.4	BLM/RECQL5
blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	1	G	0.01058738	0.162020795	0.204768916	0.204007081	pe	0.011801189	68	0.5	BLM/RECQL5
blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	1	G	0.008578229	0.236896105	0.228484755	0.22106982	pe	0.011750935	58	0.41	BLM/RECQL5
blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	1	G	0.010584802	0.201483591	0.21746109	0.213664606	pe	0.009860424	70	0.5	BLM/RECQL5
blm-recq5-2-single-f16-r1-c7_S546_.trimmed.mdup.bam	1	G	0.010896779	0.165602022	0.21990587	0.207298301	pe	0.013698326	73	0.51	BLM/RECQL5
blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	1	G	0.008425421	0.269482898	0.24079729	0.23216635	pe	0.014058225	59	0.4	BLM/RECQL5
blm-recq5-2-single-f16-r2-c4_S550_.trimmed.mdup.bam	1	G	0.006527354	0.201940324	0.218159049	0.218151081	pe	0.017544392	41	0.31	BLM/RECQL5
blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	1	G	0.011169489	0.16310585	0.201207278	0.200583338	pe	0.00935796	71	0.53	BLM/RECQL5
blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	1	G	0.006759596	0.195706927	0.21086819	0.210713931	pe	0.013292012	44	0.32	BLM/RECQL5
