library	background	readsPerMb	cov.bpr
blm-4-100uv-f03-r1-c1_S99_.processed.bam	0.134989200863931	8	0.07
blm-4-100uv-f03-r1-c2_S100_.processed.bam	0.210184182015168	13	0.17
blm-4-100uv-f03-r1-c3_S101_.processed.bam	0.0244083411912012	178	1.21
blm-4-100uv-f03-r1-c4_S102_.processed.bam	0.0302482327798783	15	0.11
blm-4-100uv-f03-r1-c5_S103_.processed.bam	0.0466009288762357	151	1.09
blm-4-100uv-f03-r1-c6_S104_.processed.bam	0.0492156903809504	201	1.44
blm-4-100uv-f03-r2-c1_S106_.processed.bam	0.0147730325006715	168	1.17
blm-4-100uv-f03-r2-c2_S107_.processed.bam	0.0126009010700207	113	0.82
blm-4-100uv-f03-r2-c3_S108_.processed.bam	0.0170709793351303	195	1.39
blm-4-100uv-f03-r2-c4_S109_.processed.bam	0.070181009844395	7	0.06
blm-4-100uv-f03-r2-c5_S110_.processed.bam	0.265017667844523	3	0.03
blm-4-100uv-f03-r2-c6_S111_.processed.bam	0.0194949555971727	184	1.28
blm-4-100uv-f03-r3-c1_S113_.processed.bam	0.0831635556045005	201	1.47
blm-4-100uv-f03-r3-c2_S114_.processed.bam	0.0549067707042106	182	1.17
blm-4-100uv-f03-r3-c3_S115_.processed.bam	0.0420297283444388	13	0.13
blm-4-100uv-f03-r3-c4_S116_.processed.bam	0.151688745673708	11	0.1
blm-4-100uv-f03-r3-c5_S117_.processed.bam	0.0428958758270733	171	1.21
blm-4-100uv-f03-r3-c6_S118_.processed.bam	0.0920765689362733	5	0.05
blm-4-100uv-f03-r4-c1_S120_.processed.bam	0.0151211952514933	167	1.19
blm-4-100uv-f03-r4-c2_S121_.processed.bam	0.0578008579814857	11	0.09
blm-4-100uv-f03-r4-c3_S122_.processed.bam	0.0761447446147727	190	1.33
blm-4-100uv-f03-r4-c4_S123_.processed.bam	0.0186172369808371	157	1.08
blm-4-100uv-f03-r4-c5_S124_.processed.bam	0.0411981441048035	137	0.92
blm-4-100uv-f03-r4-c6_S125_.processed.bam	0.025998524366961	175	1.17
