library	background	readsPerMb	cov.bpr
recql5-wrn-6-200uv-f10-r3-c3_S458_.processed.bam	0.0753304295287702	247	1.71
recql5-wrn-6-200uv-f10-r3-c4_S459_.processed.bam	0.084850863422292	224	1.58
recql5-wrn-6-200uv-f10-r3-c5_S460_.processed.bam	0.0313897377207782	325	2.15
recql5-wrn-6-200uv-f10-r3-c6_S461_.processed.bam	0.0954108037933785	336	2.29
recql5-wrn-6-200uv-f10-r4-c1_S463_.processed.bam	0.0608934926842128	316	2.17
recql5-wrn-6-200uv-f10-r4-c2_S464_.processed.bam	0.0849818746763335	359	2.52
recql5-wrn-6-200uv-f10-r4-c3_S465_.processed.bam	0.112405642939767	328	2.34
recql5-wrn-6-200uv-f10-r4-c4_S466_.processed.bam	0.0123395617217844	286	1.88
recql5-wrn-6-200uv-f10-r4-c5_S467_.processed.bam	0.0332012660749463	253	1.65
recql5-wrn-6-200uv-f10-r4-c6_S468_.processed.bam	0.141315879760365	393	2.86
recql5-wrn-6-200uv-f10-r5-c2_S471_.processed.bam	0.0172933455890212	284	1.9
recql5-wrn-6-200uv-f10-r5-c3_S472_.processed.bam	0.037983389925646	343	2.31
recql5-wrn-6-200uv-f10-r5-c4_S473_.processed.bam	0.0798029684192811	342	2.36
recql5-wrn-6-200uv-f10-r5-c5_S474_.processed.bam	0.010474739927582	323	2.13
recql5-wrn-6-200uv-f10-r5-c6_S475_.processed.bam	0.376811594202899	243	2.05
recql5-wrn-6-200uv-f10-r6-c1_S477_.processed.bam	0.0165592717602537	137	0.94
recql5-wrn-6-200uv-f10-r6-c2_S478_.processed.bam	0.0795775867043684	270	1.87
recql5-wrn-6-200uv-f10-r6-c4_S480_.processed.bam	0.0155599439964295	218	1.37
recql5-wrn-6-200uv-f10-r6-c5_S481_.processed.bam	0.0201229176977678	247	1.55
wrn-1-100uv-f11-r1-c1_S491_.processed.bam	0.261865112406328	18	0.17
wrn-1-100uv-f11-r1-c2_S492_.processed.bam	0.0242573781523376	371	2.65
wrn-1-100uv-f11-r1-c3_S493_.processed.bam	0.025934727808032	301	1.99
wrn-1-100uv-f11-r1-c4_S494_.processed.bam	0.0240453897284614	311	2.15
wrn-1-100uv-f11-r1-c5_S495_.processed.bam	0.0196832961671913	287	2.03
wrn-1-100uv-f11-r1-c6_S496_.processed.bam	0.0272710554050517	352	2.49
wrn-1-100uv-f11-r2-c2_S499_.processed.bam	0.0580795937602185	187	1.32
wrn-1-100uv-f11-r2-c3_S500_.processed.bam	0.0703268977621764	322	2.3
wrn-1-100uv-f11-r2-c4_S501_.processed.bam	0.0281871974179666	173	1.17
wrn-1-100uv-f11-r2-c5_S502_.processed.bam	0.0235209292305798	294	2.02
wrn-1-100uv-f11-r2-c6_S503_.processed.bam	0.0293846246936738	330	2.26
wrn-1-100uv-f11-r3-c1_S505_.processed.bam	0.0590734537135387	346	2.56
wrn-1-100uv-f11-r3-c2_S506_.processed.bam	0.0307184438742837	289	1.99
wrn-1-100uv-f11-r3-c3_S507_.processed.bam	0.0206459181055024	224	1.61
wrn-1-100uv-f11-r3-c4_S508_.processed.bam	0.0315918035011535	153	0.99
wrn-1-100uv-f11-r3-c5_S509_.processed.bam	0.0234800891362097	263	1.84
wrn-1-100uv-f11-r3-c6_S510_.processed.bam	0.0340674107236105	304	2.16
wrn-1-100uv-f11-r4-c1_S512_.processed.bam	0.0209517237980236	222	1.53
wrn-1-100uv-f11-r4-c2_S513_.processed.bam	0.0905327573794096	34	0.29
wrn-1-100uv-f11-r4-c3_S514_.processed.bam	0.0381626970688942	283	1.97
wrn-1-100uv-f11-r4-c4_S515_.processed.bam	0.305613850996852	37	0.4
wrn-1-100uv-f11-r4-c5_S516_.processed.bam	0.0192496220623941	182	1.29
wrn-1-100uv-f11-r4-c6_S517_.processed.bam	0.0234994064996311	247	1.71
wrn-1-100uv-f11-r5-c1_S519_.processed.bam	0.0225207994644736	282	2.01
wrn-1-100uv-f11-r5-c2_S520_.processed.bam	0.0485515086925749	297	2.06
wrn-1-100uv-f11-r5-c3_S521_.processed.bam	0.025207099455734	322	2.17
wrn-1-100uv-f11-r5-c4_S522_.processed.bam	0.0240213184442612	212	1.49
wrn-1-100uv-f11-r5-c5_S523_.processed.bam	0.0469500811067242	212	1.5
wrn-1-100uv-f11-r5-c6_S524_.processed.bam	0.0480937187041479	244	1.71
wrn-1-100uv-f11-r6-c1_S526_.processed.bam	0.0220334797221119	135	0.95
wrn-1-100uv-f11-r6-c2_S527_.processed.bam	0.0223013268312088	275	1.89
wrn-1-100uv-f11-r6-c3_S528_.processed.bam	0.0574862816827802	8	0.07
wrn-1-100uv-f11-r6-c4_S529_.processed.bam	0.0944469830493722	206	1.41
wrn-1-100uv-f11-r6-c5_S530_.processed.bam	0.0339714415202252	227	1.39
wrn-1-200uv-f12-r1-c1_S540_.processed.bam	0.0862709423091502	26	0.21
wrn-1-200uv-f12-r1-c2_S541_.processed.bam	0.0228170869401581	337	2.33
wrn-1-200uv-f12-r1-c3_S542_.processed.bam	0.0224775845725918	332	2.28
wrn-1-200uv-f12-r1-c4_S543_.processed.bam	0.0170853714301551	486	3.23
wrn-1-200uv-f12-r1-c5_S544_.processed.bam	0.0562680846019082	371	2.59
wrn-1-200uv-f12-r1-c6_S545_.processed.bam	0.0227245182402133	369	2.52
wrn-1-200uv-f12-r2-c1_S547_.processed.bam	0.0996513724704468	377	2.77
wrn-1-200uv-f12-r2-c2_S548_.processed.bam	0.0206695124691081	185	1.3
wrn-1-200uv-f12-r2-c3_S549_.processed.bam	0.0253647847811291	319	2.07
wrn-1-200uv-f12-r2-c4_S550_.processed.bam	0.0266558621572056	191	1.26
wrn-1-200uv-f12-r2-c5_S551_.processed.bam	0.0895055499495459	32	0.26
wrn-1-200uv-f12-r2-c6_S552_.processed.bam	0.037271258068078	380	2.68
wrn-1-200uv-f12-r3-c1_S554_.processed.bam	0.0469450522546784	452	3.11
wrn-1-200uv-f12-r3-c2_S555_.processed.bam	0.0288363190780479	327	2.16
wrn-1-200uv-f12-r3-c3_S556_.processed.bam	0.0818081302343088	267	1.89
wrn-1-200uv-f12-r3-c4_S557_.processed.bam	0.0176707953025817	209	1.43
wrn-1-200uv-f12-r3-c5_S558_.processed.bam	0.021408971119624	320	2.19
wrn-1-200uv-f12-r3-c6_S559_.processed.bam	0.0191718181711409	345	2.4
wrn-1-200uv-f12-r4-c1_S561_.processed.bam	0.0256444262255552	334	2.36
wrn-1-200uv-f12-r4-c2_S562_.processed.bam	0.025377441980266	389	2.75
wrn-1-200uv-f12-r4-c3_S563_.processed.bam	0.0237038081142669	417	2.89
wrn-1-200uv-f12-r4-c4_S564_.processed.bam	0.0232344327473986	328	2.3
wrn-1-200uv-f12-r4-c5_S565_.processed.bam	0.0607547169811321	25	0.21
wrn-1-200uv-f12-r4-c6_S566_.processed.bam	0.106084958813407	375	2.63
wrn-1-200uv-f12-r5-c1_S568_.processed.bam	0.0150730248892766	287	1.99
wrn-1-200uv-f12-r5-c2_S569_.processed.bam	0.038216660271119	331	2.28
wrn-1-200uv-f12-r5-c3_S570_.processed.bam	0.0433689809221888	361	2.56
wrn-1-200uv-f12-r5-c4_S571_.processed.bam	0.0204890011213113	364	2.52
wrn-1-200uv-f12-r5-c5_S572_.processed.bam	0.12362500037415	420	3.14
wrn-1-200uv-f12-r5-c6_S573_.processed.bam	0.0782827679090858	262	1.89
wrn-1-200uv-f12-r6-c1_S575_.processed.bam	0.0132835265670531	157	1.09
wrn-1-200uv-f12-r6-c2_S576_.processed.bam	0.0382957662246602	334	2.44
wrn-1-200uv-f12-r6-c3_S577_.processed.bam	0.0231521405498633	233	1.58
wrn-1-200uv-f12-r6-c4_S578_.processed.bam	0.0414951597756734	235	1.57
wrn-1-200uv-f12-r6-c5_S579_.processed.bam	0.0340112871125167	304	2.04
