library	background	reads.per.mb	coverage
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well1_S491_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well15_S505_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well14_S504_.trimmed.mdup.bam	0.25	0	0
zeid_RECQ5_UV300s_hoechst3_cluster15_well41_S531_.trimmed.mdup.bam	0.147599591419816	19	0.14
zeid_RECQ5_UV300s_hoechst3_cluster15_well40_S530_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_cluster15_well39_S529_.trimmed.mdup.bam	0.169055271615997	81	0.6
zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam	0.0987482614742698	151	1.09
zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam	0.0958699865811838	114	0.82
zeid_RECQ5_UV300s_hoechst3_cluster15_well34_S524_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_RECQ5_UV300s_hoechst3_cluster15_well33_S523_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_cluster15_well32_S522_.trimmed.mdup.bam	0.0518206563607416	207	1.48
zeid_RECQ5_UV300s_hoechst3_cluster15_well31_S521_.trimmed.mdup.bam	0.0718444327300416	135	0.99
zeid_RECQ5_UV300s_hoechst3_cluster15_well30_S520_.trimmed.mdup.bam	0.0953787501502636	70	0.51
zeid_RECQ5_UV300s_hoechst3_cluster15_well27_S517_.trimmed.mdup.bam	0.0846683105999207	80	0.59
zeid_RECQ5_UV300s_hoechst3_cluster15_well26_S516_.trimmed.mdup.bam	0.105605692467893	110	0.8
zeid_RECQ5_UV300s_hoechst3_cluster15_well25_S515_.trimmed.mdup.bam	0.0716004089733566	186	1.34
zeid_RECQ5_UV300s_hoechst3_cluster15_well24_S514_.trimmed.mdup.bam	0.100002732688419	118	0.86
zeid_RECQ5_UV300s_hoechst3_cluster15_well23_S513_.trimmed.mdup.bam	0.0512682620776194	56	0.41
zeid_RECQ5_UV300s_hoechst3_cluster15_well20_S510_.trimmed.mdup.bam	0.0595287910488493	131	0.95
zeid_RECQ5_UV300s_hoechst3_cluster15_well19_S509_.trimmed.mdup.bam	0.137100964036252	192	1.38
zeid_RECQ5_UV300s_hoechst3_cluster15_well18_S508_.trimmed.mdup.bam	0.152869131322295	58	0.44
zeid_RECQ5_UV300s_hoechst3_cluster15_well17_S507_.trimmed.mdup.bam	0.101748271403676	52	0.39
zeid_RECQ5_UV300s_hoechst3_cluster15_well16_S506_.trimmed.mdup.bam	0.10485460818137	73	0.53
zeid_RECQ5_UV300s_hoechst3_cluster15_well13_S503_.trimmed.mdup.bam	0.0956093131850314	177	1.27
zeid_RECQ5_UV300s_hoechst3_cluster15_well12_S502_.trimmed.mdup.bam	0.173325397415867	153	1.12
zeid_RECQ5_UV300s_hoechst3_cluster15_well11_S501_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_cluster15_well10_S500_.trimmed.mdup.bam	0.0716992178869692	158	1.18
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well9_S450_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well8_S449_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well7_S448_.trimmed.mdup.bam	0.5	1	0.01
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well6_S447_.trimmed.mdup.bam	0.274647887323944	4	0.03
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well5_S446_.trimmed.mdup.bam	0.378640776699029	5	0.04
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well4_S445_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well49_S490_.trimmed.mdup.bam	0.40625	3	0.03
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well48_S489_.trimmed.mdup.bam	0	1	0.01
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well47_S488_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well46_S487_.trimmed.mdup.bam	0	0	0.01
