file	coverage	spikiness	evenness.mean	evenness.med	end.x	background	reads.per.mb.bpr	coverage.bpr	end.y	gene
blm-2-100uv-f01-r4-c2_S23_.processed.bam	0.0377545916603607	0.195689057540045	0.231142391311201	0.229134109480243	se	0.11787128897277	445	3.28	se	BLM
blm-2-100uv-f01-r4-c4_S25_.processed.bam	0.0217984753545531	0.109178353219241	0.232311134148553	0.216805536890226	se	0.0201188398216794	295	1.91	se	BLM
blm-2-100uv-f01-r4-c5_S26_.processed.bam	0.0151337864858862	0.123871067548457	0.205008746596279	0.204222116808637	se	0.0467991934975742	196	1.37	se	BLM
blm-2-100uv-f01-r5-c1_S29_.processed.bam	0.0196474459040951	0.112418506834911	0.222628754578716	0.203038845950626	se	0.0293234287087279	268	1.75	se	BLM
blm-2-100uv-f01-r5-c3_S31_.processed.bam	0.019512174123646	0.116610993422384	0.215922070149652	0.206160730931657	se	0.0372412032308978	259	1.72	se	BLM
blm-2-100uv-f01-r5-c5_S33_.processed.bam	0.0219296260793916	0.109421618616096	0.224064984194001	0.21107600722023	se	0.0409312526212778	297	1.95	se	BLM
blm-2-100uv-f01-r6-c2_S37_.processed.bam	0.0185086668067739	0.110689784507181	0.213911257555311	0.202472290254847	se	0.0376445434589239	263	1.7	se	BLM
blm-2-100uv-f01-r6-c3_S38_.processed.bam	0.015959582305592	0.154936195205297	0.221977672259024	0.216381228280939	se	0.0725215364676926	224	1.48	se	BLM
blm-2-100uv-f01-r6-c4_S39_.processed.bam	0.0116244247905167	0.13238609994209	0.211853238413446	0.204646552695499	se	0.0359660549404237	168	1.09	se	BLM
blm-2-100uv-f01-r6-c5_S40_.processed.bam	0.0137910774681419	0.125228876248138	0.229771700653419	0.216331901181938	se	0.0316899138171893	203	1.29	se	BLM
blm-2-200uv-f02-r1-c2_S51_.processed.bam	0.0145002720555644	0.124036988037184	0.204364157572911	0.200886736437735	se	0.0207588415719103	193	1.34	se	BLM
blm-2-200uv-f02-r1-c3_S52_.processed.bam	0.0157416711689234	0.116205679739495	0.203157914561398	0.195282035904123	se	0.0159341291679309	211	1.44	se	BLM
blm-2-200uv-f02-r1-c4_S53_.processed.bam	0.0182489162863105	0.11227926089501	0.203084751074705	0.195196292902276	se	0.0257630709698303	245	1.67	se	BLM
blm-2-200uv-f02-r1-c5_S54_.processed.bam	0.0173704177768712	0.116711927134652	0.203421380995721	0.19630851012674	se	0.0120569044072167	228	1.57	se	BLM
blm-2-200uv-f02-r2-c1_S57_.processed.bam	0.0175101136936295	0.181002536459764	0.218053086856754	0.217687420391439	se	0.0760637560637561	216	1.6	se	BLM
blm-2-200uv-f02-r2-c3_S59_.processed.bam	0.0173158282802671	0.115321369843426	0.208126768295739	0.198986015658476	se	0.0139826893394205	231	1.58	se	BLM
blm-2-200uv-f02-r2-c5_S61_.processed.bam	0.0183963210088299	0.152842069387447	0.230801754028101	0.224599183731533	se	0.0524632016894128	246	1.68	se	BLM
blm-2-200uv-f02-r2-c6_S62_.processed.bam	0.0206801758992689	0.108057806820625	0.209443799837936	0.19831959243626	se	0.0189080724556852	278	1.88	se	BLM
blm-2-200uv-f02-r3-c2_S65_.processed.bam	0.0159380826804347	0.118003805801932	0.209523545358447	0.201783957318159	se	0.0199751382399588	215	1.46	se	BLM
