file	RPM
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r3-c2_S456_.trimmed.mdup.bam	194
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r3-c3_S457_.trimmed.mdup.bam	54
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r3-c4_S458_.trimmed.mdup.bam	116
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r3-c5_S459_.trimmed.mdup.bam	124
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r3-c6_S460_.trimmed.mdup.bam	174
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r4-c2_S461_.trimmed.mdup.bam	126
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r4-c3_S462_.trimmed.mdup.bam	77
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r4-c4_S463_.trimmed.mdup.bam	149
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r4-c5_S464_.trimmed.mdup.bam	152
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r4-c6_S465_.trimmed.mdup.bam	175
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r5-c2_S466_.trimmed.mdup.bam	108
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r5-c3_S467_.trimmed.mdup.bam	148
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r5-c4_S468_.trimmed.mdup.bam	83
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r5-c5_S469_.trimmed.mdup.bam	146
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r5-c6_S470_.trimmed.mdup.bam	126
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r6-c2_S471_.trimmed.mdup.bam	93
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r6-c3_S472_.trimmed.mdup.bam	121
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r6-c4_S473_.trimmed.mdup.bam	114
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r6-c5_S474_.trimmed.mdup.bam	131
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r2-c3_S427_.trimmed.mdup.bam	1
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r2-c5_S429_.trimmed.mdup.bam	2
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r3-c2_S431_.trimmed.mdup.bam	60
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r3-c3_S432_.trimmed.mdup.bam	49
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r3-c4_S433_.trimmed.mdup.bam	22
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r4-c2_S436_.trimmed.mdup.bam	1
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r4-c3_S437_.trimmed.mdup.bam	120
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r4-c5_S439_.trimmed.mdup.bam	210
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r4-c6_S440_.trimmed.mdup.bam	1
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r5-c2_S441_.trimmed.mdup.bam	54
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r5-c3_S442_.trimmed.mdup.bam	311
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r5-c4_S443_.trimmed.mdup.bam	232
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r5-c5_S444_.trimmed.mdup.bam	5
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r6-c2_S446_.trimmed.mdup.bam	54
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r6-c3_S447_.trimmed.mdup.bam	69
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f9-r6-c4_S448_.trimmed.mdup.bam	75
April_29_2021_NextSeq_na12878-fdu-a1h5-ke-single-f1-r2-c3_S302_.trimmed.mdup.bam	621
April_29_2021_NextSeq_na12878-fdu-a1h5-ke-single-f1-r2-c4_S303_.trimmed.mdup.bam	324
April_29_2021_NextSeq_na12878-fdu-a1h5-ke-single-f1-r2-c5_S304_.trimmed.mdup.bam	189
April_29_2021_NextSeq_na12878-fdu-a1h5-ke-single-f1-r2-c6_S305_.trimmed.mdup.bam	245
April_29_2021_NextSeq_na12878-fdu-a1h5-ke-single-f1-r3-c6_S310_.trimmed.mdup.bam	274
April_29_2021_NextSeq_na12878-fdu-a1h5-ke-single-f1-r4-c5_S314_.trimmed.mdup.bam	443
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r2-c3_S377_.trimmed.mdup.bam	70
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r2-c4_S378_.trimmed.mdup.bam	247
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r3-c3_S382_.trimmed.mdup.bam	65
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r3-c4_S383_.trimmed.mdup.bam	33
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r4-c3_S387_.trimmed.mdup.bam	307
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r4-c4_S388_.trimmed.mdup.bam	5
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r4-c5_S389_.trimmed.mdup.bam	50
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r4-c6_S390_.trimmed.mdup.bam	6
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r5-c3_S392_.trimmed.mdup.bam	11
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r5-c4_S393_.trimmed.mdup.bam	2
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r5-c6_S395_.trimmed.mdup.bam	6
April_29_2021_NextSeq_na12878-fdu-a1r1-ke-single-f5-r6-c4_S398_.trimmed.mdup.bam	249
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r2-c2_S401_.trimmed.mdup.bam	124
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r2-c3_S402_.trimmed.mdup.bam	121
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r2-c4_S403_.trimmed.mdup.bam	128
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r2-c5_S404_.trimmed.mdup.bam	125
April_29_2021_NextSeq_na12878-fdu-h3r1-ke-single-f8-r2-c6_S405_.trimmed.mdup.bam	154
